prompt,genre,mood,prompt_length,rating
melancholic jazz music with strong melody,jazz,melancholic,6,3
chill hip hop music with strong melody,hip hop,chill,12,5
chill hip hop music with strong melody,hip hop,chill,10,1
energetic rock music with strong melody,rock,energetic,7,2
chill lofi music with strong melody,lofi,chill,8,3
nostalgic rock music with strong melody,rock,nostalgic,3,3
nostalgic lofi music with strong melody,lofi,nostalgic,11,5
dark orchestral music with strong melody,orchestral,dark,9,5
energetic lofi music with strong melody,lofi,energetic,9,1
epic electronic music with strong melody,electronic,epic,7,1
dark orchestral music with strong melody,orchestral,dark,4,2
dark jazz music with strong melody,jazz,dark,10,5
energetic rock music with strong melody,rock,energetic,8,1
nostalgic lofi music with strong melody,lofi,nostalgic,8,1
happy lofi music with strong melody,lofi,happy,6,3
energetic electronic music with strong melody,electronic,energetic,10,3
happy lofi music with strong melody,lofi,happy,12,1
melancholic jazz music with strong melody,jazz,melancholic,10,1
epic rock music with strong melody,rock,epic,10,5
nostalgic lofi music with strong melody,lofi,nostalgic,8,3
melancholic orchestral music with strong melody,orchestral,melancholic,7,5
nostalgic orchestral music with strong melody,orchestral,nostalgic,7,1
chill ambient music with strong melody,ambient,chill,9,3
nostalgic hip hop music with strong melody,hip hop,nostalgic,12,4
nostalgic orchestral music with strong melody,orchestral,nostalgic,9,2
nostalgic jazz music with strong melody,jazz,nostalgic,4,5
nostalgic ambient music with strong melody,ambient,nostalgic,11,4
nostalgic jazz music with strong melody,jazz,nostalgic,4,5
dark electronic music with strong melody,electronic,dark,9,4
nostalgic orchestral music with strong melody,orchestral,nostalgic,9,1
energetic rock music with strong melody,rock,energetic,4,3
dark orchestral music with strong melody,orchestral,dark,8,3
epic jazz music with strong melody,jazz,epic,6,3
energetic hip hop music with strong melody,hip hop,energetic,3,5
dark orchestral music with strong melody,orchestral,dark,10,1
happy orchestral music with strong melody,orchestral,happy,6,5
dark orchestral music with strong melody,orchestral,dark,12,1
nostalgic rock music with strong melody,rock,nostalgic,11,3
epic rock music with strong melody,rock,epic,5,3
dark ambient music with strong melody,ambient,dark,11,3
chill ambient music with strong melody,ambient,chill,12,2
melancholic ambient music with strong melody,ambient,melancholic,10,2
dark lofi music with strong melody,lofi,dark,6,4
melancholic rock music with strong melody,rock,melancholic,6,2
energetic ambient music with strong melody,ambient,energetic,9,5
happy electronic music with strong melody,electronic,happy,11,4
dark hip hop music with strong melody,hip hop,dark,12,1
chill orchestral music with strong melody,orchestral,chill,6,2
energetic hip hop music with strong melody,hip hop,energetic,8,3
dark hip hop music with strong melody,hip hop,dark,10,1
energetic orchestral music with strong melody,orchestral,energetic,9,5
nostalgic rock music with strong melody,rock,nostalgic,12,1
epic hip hop music with strong melody,hip hop,epic,11,2
happy rock music with strong melody,rock,happy,8,1
epic orchestral music with strong melody,orchestral,epic,6,3
melancholic lofi music with strong melody,lofi,melancholic,4,2
nostalgic hip hop music with strong melody,hip hop,nostalgic,4,5
dark ambient music with strong melody,ambient,dark,4,4
dark lofi music with strong melody,lofi,dark,4,2
melancholic jazz music with strong melody,jazz,melancholic,9,3
